Name,Address,Phone,Email,Website,Category,Sub_Category,City,Rating,Description,Services,Price_Range,Opening_Hours,GPS_Coordinates,Image_URL,Social_Media,Languages,Payment_Methods,Established_Year,Special_Features
"Serenity Spa Resort","Fidjrossè, Cotonou","+229 21 30 89 23","resort@serenityspa.bj","www.serenityspa.bj","Spa & Wellness","Day Spa","cotonou",4.8,"Tranquil day spa resort with premium relaxation services","Day spa packages, couples treatments, meditation sessions","Premium","Daily: 8:00-20:00","6.3467,2.3923","https://images.unsplash.com/photo-1544161515-4ab6ce6db874","Instagram: @serenitysparesort","French, English","Credit Cards, Cash, Mobile Money",2014,"Day spa packages, Couples suites, Natural treatments"
"Elements Spa & Beauty","Akpakpa, Cotonou","+229 21 34 56 78","contact@elementsspa.bj","www.elementsspa.bj","Spa & Wellness","Medical Spa","cotonou",4.6,"Medical spa combining beauty treatments with wellness therapies","Medical spa, anti-aging treatments, dermatology services","High-End","Mon-Sat: 9:00-19:00","6.3312,2.4387","https://images.unsplash.com/photo-1570172619644-dfd03ed5d881","Facebook: @elementsspabeauty","French, English","Credit Cards, Bank Transfer",2018,"Medical spa services, Anti-aging specialist, Dermatologist on-site"
"Salon Elegance Supreme","Avenue Steinmetz, Cotonou","+229 21 31 23 45","supreme@elegancesalon.bj","www.elegancesalon.bj","Beauty Salon","High-End Salon","cotonou",4.8,"Premier beauty salon with international styling expertise","Hair styling, color treatments, bridal packages, nail art","Premium","Tue-Sun: 8:30-19:30","6.3701,2.4156","https://images.unsplash.com/photo-1560066984-138dadb4c035","Instagram: @elegancesupreme","French, English","Credit Cards, Mobile Money, Cash",2011,"International stylists, Bridal specialist, European products"
"Beauté Royale Studio","Ganhi, Cotonou","+229 21 32 78 90","studio@beauteroyale.bj","www.beauteroyale.bj","Beauty Salon","Luxury Studio","cotonou",4.7,"Exclusive beauty studio offering premium hair and beauty services","Premium hair care, makeup artistry, beauty consultations","High-End","Mon-Sat: 9:00-18:30","6.3621,2.4223","https://images.unsplash.com/photo-1522337360788-8b13dee7a37e","Facebook: @beauteroyalestudio","French, English, Portuguese","Credit Cards, Mobile Money",2015,"Celebrity makeup artist, Luxury hair treatments, Personal beauty consultant"
"Glamour Elite Salon","Marina, Cotonou","+229 21 30 67 89","elite@glamoursalon.bj","www.glamoursalon.bj","Beauty Salon","Elite Salon","cotonou",4.9,"Elite beauty salon with VIP services and luxury treatments","VIP beauty services, advanced hair treatments, luxury manicures","Ultra-Premium","Mon-Sat: 8:00-20:00","6.3545,2.4289","https://images.unsplash.com/photo-1633681926022-84c23e8cb2d6","Instagram: @glamourelitesalon","French, English","Credit Cards, Bank Transfer",2017,"VIP private suites, Swiss hair products, Celebrity clientele"
"Prestige Beauty Lounge","Plateau, Cotonou","+229 21 33 45 67","lounge@prestigebeauty.bj","www.prestigebeauty.bj","Beauty Salon","Beauty Lounge","cotonou",4.6,"Sophisticated beauty lounge with comprehensive beauty services","Hair styling, facial treatments, nail salon, beauty therapy","Premium","Tue-Sun: 9:00-19:00","6.3678,2.4234","https://images.unsplash.com/photo-1562322140-8baeececf3df","Facebook: @prestigebeautylounge","French, English, Fon","Credit Cards, Mobile Money",2013,"Beauty therapy, Facial specialist, Luxury nail salon"
"Studio Belle Afrique","Cadjehoun, Cotonou","+229 21 31 89 34","belle@studioafrique.bj","www.studioafrique.bj","Beauty Salon","African Beauty","cotonou",4.7,"Specialized African beauty studio celebrating natural beauty","Natural hair care, African beauty treatments, cultural styling","High-End","Mon-Sat: 8:30-18:30","6.3689,2.3678","https://images.unsplash.com/photo-1559599101-f09722fb4948","Instagram: @studiobelleafrique","French, English, Yoruba, Fon","Cash, Mobile Money, Credit Cards",2016,"Natural hair specialist, African beauty expert, Cultural celebrations"
"Magnificence Beauty Center","Akpakpa, Cotonou","+229 21 34 12 56","center@magnificence.bj","www.magnificence.bj","Beauty Salon","Beauty Center","cotonou",4.5,"Comprehensive beauty center with full-service spa amenities","Full beauty services, spa treatments, wellness packages","Premium","Daily: 8:00-20:00","6.3334,2.4412","https://images.unsplash.com/photo-1616394584738-fc6e612e71b9","Facebook: @magnificencebeauty","French, English","Credit Cards, Mobile Money, Cash",2014,"Full-service spa, Wellness packages, Professional makeup"
"Hotel Golden Tulip Le Diplomate","Boulevard de la Marina, Cotonou","+229 21 30 09 00","diplomate@goldentulip.com","www.goldentulipdiplomate.com","Hotels","5-Star Luxury","cotonou",4.8,"International 5-star luxury hotel with premium amenities","Luxury accommodations, fine dining, conference facilities, spa services","Ultra-Premium","24/7","6.3567,2.4289","https://images.unsplash.com/photo-1564501049412-61c2a3083791","Website: goldentulipdiplomate.com","French, English, Portuguese","Credit Cards, Bank Transfer",2003,"5-star luxury, Marina views, International standards"
"Novotel Cotonou Orisha","Boulevard de la Marina, Cotonou","+229 21 21 26 26","orisha@accor.com","www.novotel-cotonou.com","Hotels","4-Star Premium","cotonou",4.7,"Premium business hotel with modern amenities and services","Business center, restaurant, pool, fitness center","Premium","24/7","6.3578,2.4234","https://images.unsplash.com/photo-1551882547-ff40c63fe5fa","Website: novotel-cotonou.com","French, English","Credit Cards, Bank Transfer",2008,"Business class, Modern amenities, International chain"
"Azalai Hotel Cotonou","Rue du Commerce, Cotonou","+229 21 31 30 00","cotonou@azalaihotels.com","www.azalaihotels.com","Hotels","4-Star Business","cotonou",4.6,"Quality business hotel with comfortable accommodations","Business facilities, restaurant, meeting rooms","High-End","24/7","6.3623,2.4198","https://images.unsplash.com/photo-1611892440504-42a792e24d32","Website: azalaihotels.com","French, English","Credit Cards, Mobile Money",2010,"Business hotel, Meeting facilities, Quality service"
"Restaurant Le Jardin","Ganhi, Cotonou","+229 21 32 45 78","jardin@finedining.bj","www.restaurantlejardin.bj","Restaurants","Fine Dining","cotonou",4.9,"Exquisite fine dining restaurant with French-African fusion cuisine","Fine dining, wine cellar, private dining rooms, catering","Ultra-Premium","Tue-Sun: 18:00-23:00","6.3612,2.4176","https://images.unsplash.com/photo-1414235077428-338989a2e8c0","Instagram: @restaurantlejardin","French, English","Credit Cards, Bank Transfer",2016,"Michelin-trained chef, Wine sommelier, Private dining"
"Villa Karo Restaurant","Marina, Cotonou","+229 21 31 67 89","villa@karorestaurant.bj","www.villakaro.bj","Restaurants","Upscale Dining","cotonou",4.8,"Upscale dining with panoramic marina views and gourmet cuisine","Gourmet cuisine, panoramic views, wine selection, event hosting","Premium","Daily: 11:30-23:30","6.3534,2.4267","https://images.unsplash.com/photo-1517248135467-4c7edcad34c4","Facebook: @villakarorestaurant","French, English, Italian","Credit Cards, Mobile Money",2014,"Marina views, Gourmet cuisine, Event venue"
"Brasserie du Marina","Boulevard de la Marina, Cotonou","+229 21 30 78 45","marina@brasserie.bj","www.brasseriedumarina.bj","Restaurants","Premium Brasserie","cotonou",4.7,"Premium brasserie offering international cuisine with local influences","International cuisine, craft cocktails, business dining","Premium","Daily: 7:00-24:00","6.3556,2.4278","https://images.unsplash.com/photo-1551218808-94e220e084d2","Instagram: @brasseriedumarina","French, English","Credit Cards, Cash","2012","Business dining, Craft cocktails, International cuisine"
"Le Livingstone","Fidjrossè, Cotonou","+229 21 33 89 67","contact@livingstone.bj","www.lelivingstone.bj","Restaurants","Luxury Restaurant","cotonou",4.8,"Luxury restaurant with sophisticated ambiance and international menu","Fine dining, wine pairing, private events, chef's table","Ultra-Premium","Wed-Mon: 19:00-24:00","6.3445,2.3898","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b","Facebook: @lelivingstonecotonou","French, English","Credit Cards, Bank Transfer",2018,"Chef's table, Wine pairing, Luxury ambiance"
