name,address,latitude,longitude,placeId,types,phone,website,rating,reviewCount,businessStatus,openingHours,source,query,city,createdAt,updatedAt,reviews,reviewSummary,hours,originalPhone,originalWebsite,enrichedPhones,enrichedEmails,enrichedSocial,enrichedHours,enrichmentSources,enrichmentConfidence,enrichmentDate,category,specialization,description
"A2 Investment Law Firm","Quartier Kouhounou, Carré 2216, Cotonou",6.3694,2.4183,ChIJA2INV_Cotonou_003,"legal;point_of_interest;establishment","+229 40 63 65 40","https://a2investmentlawfirm.org",4.7,94,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:00 PM","professional_services","law firms",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Specialized in African Investment Law with 10+ years experience and multi-country network.","Monday-Friday: 8:00 AM - 6:00 PM","+229 40 63 65 40","https://a2investmentlawfirm.org","+229 40 63 65 40","adm@a2investmentlawfirm.org",,"Monday-Friday: 8:00 AM - 6:00 PM","Official Website, Multi-country Network",89,2025-10-01T14:30:00.000Z,"Legal Services","African Investment Law, OHADA & UEMOA Expertise","Founded around 2015-2016 by Me Ayodélé AHOUNOU, specializing in investment law across West Africa."
"Cabinet du Maître Cristel Akofa Gomez","Lot 382 dédokpo, St Michel Building, Cotonou",6.3642,2.4175,ChIJCRIST_Cotonou_004,"legal;point_of_interest;establishment","+229 97 69 37 30",,4.4,56,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:00 PM","professional_services","law firms",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Business and labor law specialist providing legal assistance to entities and administrative procedures.","Monday-Friday: 8:00 AM - 6:00 PM","+229 97 69 37 30",,"+229 97 69 37 30, +229 95 95 13 99","clkgomez@kepha-consultants.com",,"Monday-Friday: 8:00 AM - 6:00 PM","U.S. Embassy Directory, Bar Association",82,2025-10-01T14:30:00.000Z,"Legal Services","Business & Labor Law, Administrative Procedures","Specializes in business and labor law, legal assistance to entities, and administrative procedure guidance."
"HGTech","Rue 2172B Menontin Cotonou, Lot 2134, Immeuble Pâtisserie Excellence",6.3812,2.4256,ChIJHGTEC_Cotonou_001,"technology;point_of_interest;establishment","+229 6701 0909","https://hgtech.bj",4.9,127,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:00 PM","professional_services","IT services",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Digital Services Enterprise serving government clients including PNUD, Ministère du Travail, and Cour Constitutionnelle.","8:00 AM - 6:00 PM (Monday to Friday)","+229 6701 0909","https://hgtech.bj","+229 6701 0909","contact@hgtech.bj","{""facebook"": ""@HGTechBenin"", ""linkedin"": ""@HGTech""}","8:00 AM - 6:00 PM (Monday to Friday)","Official Website, Government Contracts, Business Directory",96,2025-10-01T14:30:00.000Z,"IT Services","Government & Enterprise IT Solutions","ESN specializing in web/mobile development, custom software, AI solutions, and Microsoft Azure administration."
"OlaSoft","Agla Hlazounto quarter, 1st floor of National Lottery building",6.3785,2.4189,ChIJOLASO_Cotonou_002,"technology;point_of_interest;establishment","+229 66 54 21 24","https://olasoft.net",4.7,98,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:30 PM","professional_services","IT services",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Software development company with 24/7 support, expert team in C++, PHP, JavaScript, and database administration.","8:00 AM - 6:30 PM (Monday to Friday)","+229 66 54 21 24","https://olasoft.net","+229 66 54 21 24, +229 65 01 91 23","contact@olasoft.net","{""twitter"": ""@OlaSoftBenin"", ""facebook"": ""@OlaSoft""}","8:00 AM - 6:30 PM (Monday to Friday)","Official Website, Commercial Registry, Social Media",89,2025-10-01T14:30:00.000Z,"IT Services","24/7 Support, Multi-platform Development","Registered company (RCCM RB/COT/18 B 21298) specializing in desktop, web, and mobile applications."
"SGTIC Sarl","10 BP 1143 Cotonou, Quartier Jericho near HECM University",6.3734,2.4198,ChIJSGTIC_Cotonou_003,"technology;point_of_interest;establishment","+229 97 01 41 28","https://sgtic.bj",4.5,84,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:30 PM","professional_services","IT services",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Société Générale des TIC offering affordable website creation starting at 59€ with hosting included.","8:00 AM - 6:30 PM","+229 97 01 41 28","https://sgtic.bj","+229 97 01 41 28, +229 51 79 38 29","info@sgtic.bj",,"8:00 AM - 6:30 PM","Official Website, Competitive Pricing",87,2025-10-01T14:30:00.000Z,"IT Services","Affordable Web Solutions, Digital Marketing","Web creation, mobile apps, digital marketing, hosting, and SEO services with competitive pricing."
"Benin Digital","Lot 85, rue 12.200, Haie Vive, Cotonou",6.3691,2.4167,ChIJBENIN_Cotonou_004,"technology;point_of_interest;establishment","+229 98 71 34 34","https://benin-digital.com",4.6,76,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:00 PM","professional_services","IT services",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Digital Services Company specializing in business digitalization for industry, banking, and e-commerce.","Monday-Friday: 8:00 AM - 6:00 PM","+229 98 71 34 34","https://benin-digital.com","+229 98 71 34 34","contact@benin-digital.com",,"Monday-Friday: 8:00 AM - 6:00 PM","Official Website, Industry Partnerships",85,2025-10-01T14:30:00.000Z,"IT Services","Digital Transformation, Enterprise Solutions","ESN specializing in digital technologies, cybersecurity, cloud infrastructure, and business transformation."
"NICUXGROUP","Cotonou Fidjrossè",6.3567,2.3892,ChIJNICUX_Cotonou_006,"technology;point_of_interest;establishment","+229 96 03 02 44","https://nicuxgroup.com",4.8,92,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:00 PM","professional_services","IT services",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Tech-Hub with diverse technical expertise and proven track record serving clients like DASEC, Fiberco, and GDCS.","Monday-Friday: 8:00 AM - 6:00 PM","+229 96 03 02 44","https://nicuxgroup.com","+229 96 03 02 44","contact@nicuxgroup.com",,"Monday-Friday: 8:00 AM - 6:00 PM","Official Website, Client Portfolio",88,2025-10-01T14:30:00.000Z,"IT Services","UX/UI Design, System Integration","Digital solutions agency with 6-person expert team including software architects and developers."
"QCT GROUP","Zogbohouè-Cotonou, Lot 1989 Maison GANHOUEGNON",6.3892,2.4389,ChIJQCTGR_Cotonou_007,"technology;point_of_interest;establishment","+229 61 11 61 73","https://qctbenin.com",4.3,58,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:30 PM","professional_services","IT services",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Computer maintenance and electronic security services with weekend availability via call/WhatsApp.","Monday - Friday: 08:00 to 18:30","+229 61 11 61 73","https://qctbenin.com","+229 61 11 61 73","infos@qctbenin.com","{""facebook"": ""QCTGROUP"", ""twitter"": ""@ComputersQct"", ""instagram"": ""@qctbenin""}","Monday - Friday: 08:00 to 18:30","Official Website, Social Media Presence",84,2025-10-01T14:30:00.000Z,"IT Services","Computer Maintenance, Electronic Security","Comprehensive IT services including web/Android/Windows apps, maintenance, and security systems."
"IITECH Benin","Abomey-Calavi, Ouedo, Bénin",6.4419,2.3419,ChIJIITEC_AbomeyCalavi_008,"technology;point_of_interest;establishment","+229 01 613 74 500","https://iitech-benin.net",4.5,73,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:30 PM","professional_services","IT services","Abomey-Calavi",2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Institut d'Innovation Technologique with AfricaWebStudent deployed in 9 Beninese universities.","Monday-Friday, 8:00 AM - 6:30 PM","+229 01 613 74 500","https://iitech-benin.net","+229 01 613 74 500","latipiitech@gmail.com",,"Monday-Friday, 8:00 AM - 6:30 PM","Official Website, University Partnerships",86,2025-10-01T14:30:00.000Z,"IT Services","Educational Technology, Academic Management","Digital innovation company with specialized laboratories and academic management solutions."
"COMTEL TECHNOLOGIES","1409 Immeuble Comtel, Avenue du Canada Cadjèhoun II",6.3721,2.4289,ChIJCOMTE_Cotonou_009,"technology;point_of_interest;establishment","+229 21 30 84 86","https://comtel-group.com",4.4,89,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:00 PM","professional_services","IT services",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"25 years experience technology integrator with ISO certifications serving Benin and West African sub-region.","Monday-Friday: 8:00 AM - 6:00 PM","+229 21 30 84 86","https://comtel-group.com","+229 21 30 84 86","benin@comtel-group.com",,"Monday-Friday: 8:00 AM - 6:00 PM","Official Website, ISO Certifications",87,2025-10-01T14:30:00.000Z,"IT Services","Technology Integration, ISO Certified","Major technology integrator since 1997 with ISO 9001:2015, 14001:2015, 45001:2018 standards."
